"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Adilabad","epi",6.5,1.3,64.6,8.6,0.8,86.2,4.1e-05
"Adilabad","hrt",7.9,1.2,79.2,8.1,0.8,80.8,0.686441
"Adilabad","jau",6.9,1.3,69.2,8,1.2,80,0.03679
"Adilabad","lscs",8.6,1.4,85.8,8.8,1.3,88.3,0.64836
"Adilabad","sob",8.4,1,83.8,9.1,1.1,91.2,0.060686
"Adilabad","tb",7.1,1.4,70.7,8.6,1,86,0.00179
"Bhadradri Kothagudem","epi",6.6,2.3,65.6,8.1,1.1,81.2,0.021736
"Bhadradri Kothagudem","hrt",8.2,1.9,82,8.1,1.3,80.7,0.823356
"Bhadradri Kothagudem","jau",7.7,1.7,76.9,9.6,0.7,95.6,0.000739
"Bhadradri Kothagudem","lscs",8.1,1.5,80.6,8.6,1.6,85.6,0.371452
"Bhadradri Kothagudem","sob",6.9,1.4,69.3,9.2,1.3,92,0.000111
"Bhadradri Kothagudem","tb",6.8,1.3,67.6,8.5,0.9,85.3,7.4e-05
"Hyderabad","epi",6.9,1.3,69.1,8.4,1.3,83.5,0
"Hyderabad","hrt",7.9,1.2,79.4,8,1,80.4,0.653314
"Hyderabad","jau",7.4,1.6,74.1,8.5,1.2,85.4,8.9e-05
"Hyderabad","lscs",8.7,1.5,86.7,9.1,1.4,90.8,0.163243
"Hyderabad","sob",8.3,1.3,82.8,8.9,1.1,89.1,0.013333
"Hyderabad","tb",7.9,1.2,79.4,8.8,1,88.3,0.000102
"Jagtial","epi",6.9,1.3,69.4,8.6,0.9,85.6,0.000138
"Jagtial","hrt",7,1.7,70,7.4,2,73.8,0.569036
"Jagtial","jau",6.8,1.8,68.1,8.5,2.1,85,0.020782
"Jagtial","lscs",6.2,2,62.4,8,1.4,80,0.006711
"Jagtial","sob",6.5,2.7,64.7,8.6,2.3,85.9,0.018209
"Jagtial","tb",6.9,1.8,68.7,8.6,0.7,86,0.002406
"Jayashankar Bhupalpally","epi",9.1,0.9,91.4,9.6,0.8,96.4,0.152532
"Jayashankar Bhupalpally","hrt",6.7,1.9,66.7,9.4,0.6,94,5.2e-05
"Jayashankar Bhupalpally","jau",6.6,1.1,66,9.1,1.3,90.7,6e-06
"Jayashankar Bhupalpally","lscs",7.4,2.4,74,9.8,0.4,98,0.001478
"Jayashankar Bhupalpally","sob",8.7,1.4,87.3,8.7,2.5,87.3,1
"Jayashankar Bhupalpally","tb",8.5,0.5,85,8.7,0.5,87.1,0.262111
"Jogulamba Gadwal","epi",6.3,1.4,63.3,8.4,0.9,84,9.7e-05
"Jogulamba Gadwal","hrt",8.3,1.4,83.3,8.2,1.1,82,0.781898
"Jogulamba Gadwal","jau",7.4,1.8,74,8.7,0.8,87.3,0.018717
"Jogulamba Gadwal","lscs",8.9,1.2,89.3,9.3,1.1,92.9,0.427906
"Jogulamba Gadwal","sob",8.2,1.9,81.7,8.9,1.2,89.2,0.26701
"Jogulamba Gadwal","tb",6.5,1.5,65.4,8.2,1.1,81.5,0.00467
"Kamareddy","epi",7.2,1.3,72.4,8.5,0.8,85.3,0.00168
"Kamareddy","hrt",7.6,1,76.2,7.8,1,78.5,0.551488
"Kamareddy","jau",8,1.5,80,9.1,1,91.4,0.02548
"Kamareddy","lscs",9.5,0.5,94.6,9.8,0.4,98.5,0.041571
"Kamareddy","sob",8.5,1.6,85,9.6,1.1,95.7,0.045813
"Kamareddy","tb",8,0.7,80,9,0.8,90,0.000487
"Karimnagar","epi",6.8,1.7,68.4,8.7,0.7,87.4,0.000187
"Karimnagar","hrt",7.5,1.3,74.7,7.8,1.2,77.9,0.447795
"Karimnagar","jau",7,2.7,70,8.5,1.4,85.4,0.085194
"Karimnagar","lscs",8.3,1.1,83.3,9.1,1.2,90.6,0.068176
"Karimnagar","sob",7.7,1.5,77.1,8.9,1.3,88.8,0.020553
"Karimnagar","tb",7.9,1.2,78.9,8,1.7,80,0.830912
"Khammam","epi",7,1.6,70.4,7.9,1.2,78.8,0.04699
"Khammam","hrt",6.9,1.6,69.1,7.8,1.2,78.2,0.03617
"Khammam","jau",6.5,1.7,65.5,7.8,1,77.7,0.006155
"Khammam","lscs",8.4,1.9,83.7,8.5,1.5,85.3,0.783482
"Khammam","sob",8.7,1.1,87.1,9,0.7,90.5,0.244521
"Khammam","tb",7.8,1.5,77.6,8.8,1.2,87.6,0.020319
"Komaram Bheem Asifabad","hrt",7.5,1.2,75.5,7.8,1.2,78.2,0.456105
"Komaram Bheem Asifabad","lscs",8.9,0.9,88.9,9.2,0.8,91.6,0.366585
"Komaram Bheem Asifabad","sob",7.2,2,71.7,8.3,1.4,83.3,0.048458
"Komaram Bheem Asifabad","tb",7.1,1.5,71.2,9.1,1.2,90.6,0.000182
"Mahabubabad","epi",6.1,1.4,61.1,7.2,1.3,72.2,0.019577
"Mahabubabad","hrt",6.9,1.8,69.5,7.4,1.1,73.7,0.383194
"Mahabubabad","jau",7.2,1.3,71.5,8.6,1,86,0.000361
"Mahabubabad","lscs",8.9,1,89,9,1,90,0.746364
"Mahabubabad","sob",8,1.2,80,9.1,0.9,91,0.002095
"Mahabubabad","tb",7.3,1.3,73,8.4,1.1,84,0.007256
"Mahabubnagar","epi",6.2,1.2,62.4,8.2,1.1,82.4,0
"Mahabubnagar","hrt",7.7,0.9,76.8,8.9,0.6,88.6,1.5e-05
"Mahabubnagar","jau",7.7,1.3,76.5,9.1,1,91.3,0.000128
"Mahabubnagar","lscs",8.9,1.2,88.8,9.6,0.9,96,0.023672
"Mahabubnagar","sob",8.1,1.3,80.9,9,0.8,89.5,0.013542
"Mahabubnagar","tb",8.1,0.9,81.2,9.4,0.7,94.2,3e-06
"Mancherial","epi",6.3,1.1,62.6,8.3,1.2,83.2,5e-06
"Mancherial","hrt",7.2,1.3,72.2,8.2,0.9,82.2,0.009755
"Mancherial","jau",6.8,2,67.9,8.6,1.5,86.3,0.003046
"Mancherial","lscs",8.3,2.3,83.2,9.2,1.4,91.6,0.179783
"Mancherial","sob",7.1,1.5,71.1,9.1,1.2,90.6,0.000124
"Mancherial","tb",7.4,1.6,74.2,8.8,0.8,88.4,0.002021
"Medak","epi",6.5,1.4,65,7.6,1.7,75.6,0.048205
"Medak","hrt",7.8,1.1,77.6,8.1,0.8,81.2,0.287208
"Medak","jau",8.2,1.7,82.5,8.5,1.4,85,0.649168
"Medak","lscs",8.9,1,89.4,9.3,0.7,93.1,0.229997
"Medak","sob",7.8,1.6,78,7.7,1.5,76.7,0.816094
"Medak","tb",7.4,1.3,73.5,8.5,1.5,85.3,0.019458
"Medchal Malkajgiri","epi",6.9,1.4,68.5,8.7,0.7,87.4,0
"Medchal Malkajgiri","hrt",7.4,1.6,74,8.8,1.1,88,0.000217
"Medchal Malkajgiri","jau",7.8,1.4,77.9,8.4,1,83.8,0.107906
"Medchal Malkajgiri","lscs",8.6,1.7,86,8.8,1.6,88,0.631863
"Medchal Malkajgiri","sob",7.9,1.2,79.3,9.1,0.8,91.4,2.6e-05
"Medchal Malkajgiri","tb",7,1.2,69.6,8.6,0.8,86.3,0
"Nagarkurnool","epi",6.3,1.8,63,8.7,0.8,87,1.1e-05
"Nagarkurnool","hrt",7,2,70,7.6,1.7,75.9,0.301511
"Nagarkurnool","jau",6.2,2,61.8,8.8,1.8,87.6,0.000383
"Nagarkurnool","lscs",7.9,1.8,79.4,8.9,1.3,88.8,0.100049
"Nagarkurnool","sob",7.6,1.5,76.1,8.3,1.2,82.8,0.154361
"Nagarkurnool","tb",7.1,1.3,71.1,8.7,0.9,86.8,0.000184
"Nalgonda","epi",6.8,1.2,68.3,8.8,1.1,87.5,0
"Nalgonda","hrt",7.6,1.8,75.5,7.7,1.9,76.6,0.802772
"Nalgonda","jau",7.8,1.4,78.1,8.3,1.2,83.3,0.086002
"Nalgonda","lscs",8.7,1.2,87,8.9,1.1,89.5,0.367068
"Nalgonda","sob",8,1.3,80.3,8.8,1.1,87.6,0.015973
"Nalgonda","tb",6.9,1.2,68.6,8.5,0.9,85.3,0
"Narayanpet","epi",7.8,1,78.3,7.7,2.2,76.7,0.86831
"Narayanpet","hrt",7.7,0.6,76.7,7.7,0.6,76.7,1
"Narayanpet","jau",6.3,2.6,63.3,8.5,2.5,85,0.171315
"Narayanpet","lscs",8.2,1.7,81.7,8,1.3,80,0.852653
"Narayanpet","sob",9.2,0.8,92,9,1.2,90,0.771705
"Narayanpet","tb",7.3,1.2,73.3,7.7,0.8,76.7,0.590141
"Nirmal","epi",6.8,1.1,68,9.3,1.3,93,0.000192
"Nirmal","hrt",6.9,1.9,69.2,7.8,1.2,77.5,0.221082
"Nirmal","jau",7.7,1.2,76.7,9.2,1.1,91.7,0.003785
"Nirmal","lscs",7.5,1.6,75,8.9,2,89,0.0974
"Nirmal","sob",7.4,1.3,74,9,1.5,90,0.021687
"Nirmal","tb",7,1.6,70,9.1,2.3,91.4,0.06762
"Nizamabad","epi",5.8,1.2,57.6,7.8,1.3,77.6,4.1e-05
"Nizamabad","hrt",7.8,1,77.5,7.8,1.6,78,0.908608
"Nizamabad","jau",6.9,1.4,69.1,8.1,1.3,80.9,0.0055
"Nizamabad","lscs",7.8,1.5,78.5,8.2,1.3,81.5,0.581964
"Nizamabad","sob",7.7,1.2,77.4,8.7,1.1,86.5,0.009689
"Nizamabad","tb",7.5,1,74.8,8.7,1.3,86.7,0.002341
"Peddapalli","epi",7.1,1.3,71.2,8.4,0.6,84.4,0.001153
"Peddapalli","hrt",7.4,1,73.6,8.6,0.6,85.7,0.000987
"Peddapalli","jau",8.1,1.4,80.7,8.7,1,87.1,0.182333
"Peddapalli","lscs",8.6,1.2,86,9.5,1.1,95.3,0.035386
"Peddapalli","sob",8.3,1.4,82.9,8.8,1.1,87.9,0.314846
"Peddapalli","tb",7.7,1.1,76.9,8.7,0.9,86.9,0.009404
"Rajanna Sircilla","epi",7.7,0.9,77,9.2,0.8,92,0.00125
"Rajanna Sircilla","hrt",8.3,1,82.9,8.7,0.5,87.1,0.316617
"Rajanna Sircilla","jau",7.6,1.6,76,9.1,1,91,0.022334
"Rajanna Sircilla","lscs",8.3,1.3,83.3,9.8,0.4,97.8,0.011428
"Rajanna Sircilla","sob",8.3,1.8,83.3,9.1,1.1,91.1,0.284239
"Rajanna Sircilla","tb",7.1,1.3,71.1,8,1.1,80,0.134777
"Rangareddy","epi",7,1.3,70,8.2,1.2,82,5.9e-05
"Rangareddy","hrt",7.1,1.4,71.5,7.2,1.3,71.9,0.882165
"Rangareddy","jau",6.9,1.7,69.2,8.2,1.5,82.5,0.000459
"Rangareddy","lscs",8.4,1.7,83.5,9.1,1.3,91.4,0.028325
"Rangareddy","sob",7.6,2,76.2,8.6,1.3,85.7,0.018017
"Rangareddy","tb",7.5,1.2,74.7,8,1.1,80,0.033845
"Sangareddy","epi",7.8,1.3,78,8.7,0.9,86.7,0.040245
"Sangareddy","hrt",8,1.5,80,7.6,1.7,75.7,0.630896
"Sangareddy","jau",7.6,1.2,75.8,8.7,1.2,86.7,0.043005
"Sangareddy","lscs",8.8,1.1,87.5,9.3,0.8,93.3,0.138827
"Sangareddy","sob",7.5,1.8,75.4,8.6,1.1,86.2,0.077433
"Sangareddy","tb",7.7,1.4,76.9,9.2,0.8,91.5,0.00472
"Siddipet","epi",6.7,1.1,66.5,8.3,1,83,1.8e-05
"Siddipet","hrt",7.1,1.4,71.3,7.8,2,78.3,0.187204
"Siddipet","jau",7,1.8,70,8.5,1,85.5,0.001205
"Siddipet","lscs",7,2.8,70,8,2.8,80,0.757464
"Siddipet","sob",8.3,1.5,83.2,9.4,0.9,93.7,0.011685
"Siddipet","tb",7.1,1.3,71.2,7.9,1,79.2,0.021086
"Suryapet","epi",6.8,1.3,68.1,8.8,0.8,87.5,2.4e-05
"Suryapet","hrt",7.7,1.6,76.9,8.9,0.9,89.4,0.010526
"Suryapet","jau",7.1,2,71.2,8.5,1,85,0.023057
"Suryapet","lscs",7.7,1.3,76.7,9.5,0.6,95.3,6.2e-05
"Suryapet","sob",7.8,1.3,77.5,8.6,0.8,86.2,0.034672
"Suryapet","tb",6.5,1.3,65,8.4,0.7,84.4,3.1e-05
"Wanaparthy","hrt",7.1,1.2,70.8,7,1,70,0.855299
"Wanaparthy","jau",6.7,1.5,66.7,7.8,1.1,77.5,0.054026
"Wanaparthy","lscs",8.4,1.1,84.2,9.1,0.9,90.8,0.115866
"Wanaparthy","sob",7.8,1.8,78.5,8.4,1.9,83.8,0.461563
"Wanaparthy","tb",6.9,1.4,69.2,7.9,0.8,79.2,0.034131
"Warangal Rural","epi",7.3,0.6,73.3,8.3,0.6,83.3,0.101192
"Warangal Rural","hrt",7.2,0.4,72,8.2,0.8,82,0.055736
"Warangal Rural","jau",7,2.1,70,7.8,0.4,78.3,0.380413
"Warangal Rural","lscs",8.2,1.1,82,8,0.7,80,0.7419
"Warangal Rural","sob",7.5,1,75,8.8,1.3,87.5,0.173339
"Warangal Rural","tb",6.2,0.4,62,7.6,1.5,76,0.108362
"Warangal Urban","epi",7.2,1.6,72.5,8.1,1.3,80.6,0.13195
"Warangal Urban","hrt",7.3,1.4,72.8,7.3,1.6,73.3,0.911677
"Warangal Urban","jau",7.1,2.2,70.6,7.5,1.7,75,0.532391
"Warangal Urban","lscs",8.7,1.3,86.7,8.9,1.3,88.7,0.682207
"Warangal Urban","sob",7.3,1.4,72.9,8.6,1.3,85.9,0.009416
"Warangal Urban","tb",7.5,1.2,75,8.6,1,85.8,0.028285
"Yadadri Bhuvanagiri","epi",6.5,1.5,64.6,8.8,0.8,87.7,8.2e-05
"Yadadri Bhuvanagiri","hrt",7.7,0.8,76.9,7.8,1.7,78.5,0.766332
"Yadadri Bhuvanagiri","jau",6.8,1.4,68.5,8.2,0.9,81.5,0.010286
"Yadadri Bhuvanagiri","lscs",8.1,1.7,81,8.6,1.1,86,0.436795
"Yadadri Bhuvanagiri","sob",7.2,1.3,72.5,8.6,0.7,85.8,0.0056
"Yadadri Bhuvanagiri","tb",7.8,0.9,78.5,9.5,0.7,94.6,3.1e-05
"Overall Average","epi",6.8,1.5,68.3,8.4,1.2,84,NA
"Overall Average","hrt",7.5,1.5,74.6,7.9,1.4,79.4,NA
"Overall Average","jau",7.2,1.7,72.3,8.5,1.3,85,NA
"Overall Average","lscs",8.4,1.6,84,9,1.2,90.3,NA
"Overall Average","sob",7.9,1.6,78.6,8.8,1.3,88.1,NA
"Overall Average","tb",7.4,1.3,73.8,8.6,1.1,85.8,NA
